,tweet,class
260,"Usman Khawaja revisits 'homeworkgate', says coach Mickey Arthur had got priorities wrong  https://t.co/NVjBrAvFg4",Sports
261,IND vs AUS 1st Test: Australia's Pat Cummins plays down pitch concerns ahead of the series opener  https://t.co/Lg6vOLl2fz,Sports
262,Ma Long leads star-studded field for WTT Star Contender Goa  https://t.co/ju0MxJ8qRp,Sports
263,Ind vs Aus 1st Test: The big records and landmarks that beckon individual players  https://t.co/hE8W8kAipE,Sports
264,IND vs AUS: Virat Kohli inches closer to another record against Australia  https://t.co/ctZkgBMr2I,Sports
265,"India vs Australia 1st Test: Predicted Playing XIs, Head to Head, Big Talking Points, Pitch Report, Weather Forecast, Where to Watch  https://t.co/cjwBO8SGOa",Sports
266,NBA: LeBron James vows to keep playing after 'surreal' scoring record  https://t.co/BOrmMyAN4o,Sports
267,NBA: LeBron James vows to keep playing after 'surreal' scoring record  https://t.co/YOPJJUKPOe,Sports
268,Ex-Tokyo Olympics official held on alleged Games bid-rigging  https://t.co/RYAdqfUgFQ,Sports
269,"UAE pacer Zahoor Khan recounts his experience of meeting Rohit Sharma, Jasprit Bumrah  https://t.co/EJLVxTLr7L",Sports
270,"UAE pacer Zahoor Khan recounts his experience of meeting Rohit Sharma, Jasprit Bumrah  https://t.co/EJLVxTKTid",Sports
271,"Real Test: India eye summit clash, Australia seek revenge  https://t.co/7gJ04kB8xq",Sports
272,Pegula thought she may quit tennis over mother's health struggles  https://t.co/odYfOZF5TE,Sports
273,"IND vs AUS 1st Test: Suryakumar Yadav in, Cheteshwar Pujara out! Former selector trolled for picking SKY over Pujara  https://t.co/aRXFyYeGl4",Sports
274,NBA: Oklahoma City Thunder beat Los Angeles Lakers on LeBron James' record night  https://t.co/sVbTOOvQ4r,Sports
275,"NFL: When it comes to the Super Bowl, the show must go on, say experts  https://t.co/XothYwPJQS",Sports
276,"As 'King' James makes history, Jordan-LeBron debate revived  https://t.co/i3GRjLKKdV",Sports
277,NFL: Philadelphia Eagles defense faces ultimate Super Bowl test with Patrick Mahomes  https://t.co/np2MGIN1mu,Sports
278,LeBron James surpasses Kareem Abdul-Jabbar to become NBA's all-time leading scorer  https://t.co/pA3OGQKgPf,Sports
279,England spinner Jack Leach puts 2019 nightmare behind him ahead of New Zealand series  https://t.co/BcqLmiRb7W,Sports
280,NBA: Memphis Grizzlies thrash Chicago Bulls 104-89  https://t.co/EmqXcmFPHA,Sports
281,"NBA: New era set to begin when Kyrie Irving, Mavs visit Clippers  https://t.co/eVfjseLawp",Sports
282,NBA: Brandon Ingram helps New Orleans Pelicans beat Atlanta Hawks 116-107  https://t.co/esl3rlIwov,Sports
283,NBA: 76ers look to cut into Celtics' lead atop conference  https://t.co/P1Kw966dQs,Sports
284,Al Hilal stun Flamengo 3-2 in Club World Cup semi-final  https://t.co/dAjNz0rOUN,Sports
285,No Hollywood ending for Wrexham as Blades win FA Cup thriller  https://t.co/YD9LgJCXiH,Sports
286,Dusan Vlahovic hits double as Juventus beat Salernitana 3-0  https://t.co/5dLOvBmuzT,Sports
287,Dusan Vlahovic hits double as Juventus beat Salernitana 3-0  https://t.co/lIKfKGi4mW,Sports
288,Confident Australia can pull off series win in India: Harris  https://t.co/FsjLG90h9A,Sports
289,ISL: Kerala Blasters snatch a comeback win  https://t.co/mUuprcgBNT,Sports
290,NBA: Tyrese Haliburton out to help Indiana Pacers stop unraveling vs Miami Heat  https://t.co/6FVudSnXDG,Sports
291,Ranji Trophy: Karnataka face tricky Saurashtra test  https://t.co/jl8v3iB46z,Sports
292,"NBA: After long trip, Toronto Raptors tip off against struggling San Antonio Spurs  https://t.co/nMshWUP8pw",Sports
293,IND vs AUS: Gujarat's 'Ashwin' finally meets his idol  https://t.co/klzMNl2hR4,Sports
294,"Rishabh Pant shares an update, says 'to sit out and breathe fresh air feels blessed'  https://t.co/1P6bW1nnLH",Sports
295,NBA: New York Knicks rally to beat Orlando Magic 102-98  https://t.co/oBNbeC5zV6,Sports
296,NBA: Deandre Ayton stars as Phoenix Suns down Brooklyn Nets 116-112  https://t.co/sxr24Q04lJ,Sports
297,Sairaj Bahutule to assist Indian spinners during Australia Tests  https://t.co/mzPC1POgVp,Sports
298,"NBA: LeBron's Federer-esque game a key to his dominance, says Dumars  https://t.co/P1vYPKKolj",Sports
299,Shubman Gill too good a player not to succeed: Graeme Smith  https://t.co/aoRu6ppBS9,Sports
300,Familiar foe: No walk down Sentimental Street for Andy Reid  https://t.co/ZE9HE1MwYA,Sports
301,IND vs AUS: India's WTC Final chances hinge on series outcome  https://t.co/cMG6oDVs0F,Sports
302,NBA: Kyrie Irving glad to be with Dallas Mavericks after Brooklyn Nets 'disrespected' him  https://t.co/hzu2sLOXoI,Sports
303,"NBA: With De'Aaron Fox back, Kings look for more success vs Rockets  https://t.co/RqjF5oMC63",Sports
304,"IND vs AUS 1st Test: Shubman Gill likely at No. 5; spinners R Ashwin, Axar Patel, Ravindra Jadeja may get nod  https://t.co/qNLDsXQV1v",Sports
305,Miami Heat trading Dewayne Dedmon to San Antonio Spurs: Report  https://t.co/HwWbM87lz2,Sports
306,Wales midfielder Joe Allen retires from international duty  https://t.co/XEOtHvMAVS,Sports
307,Determined Patrick Mahomes says ankle injury has improved  https://t.co/HkE6umity2,Sports
308,Determined Patrick Mahomes says ankle injury has improved  https://t.co/rQ05nz4Rpq,Sports
309,ISL: Kerala Blasters snatch a comeback 2-1 win against Chennaiyin FC  https://t.co/Dk90j8f1Ix,Sports
310,ISL: Kerala Blasters snatch a comeback 2-1 win against Chennaiyin FC  https://t.co/NYwc5T2rOF,Sports
311,Vaughan set to be only charged person to attend Rafiq cricket racism hearing  https://t.co/Yldjk3dHIQ,Sports
312,India-Pakistan contest on cards in Asian Junior Team Squash Championships  https://t.co/ic2bFpd3Hf,Sports
313,1st Test: Century for Ballance on Zimbabwe debut against West Indies  https://t.co/4HsUCF0vUU,Sports
314,England's Jack Leach hoping for better memories in NZ after 2019 illness  https://t.co/luoUAhmpsV,Sports
315,NFL: Record 50.4 million Americans to bet on Super Bowl  https://t.co/lNxLoABAtK,Sports
316,"Days after being named Pakistan selector, Kamran Akmal announces retirement from all forms of cricket  https://t.co/cxigV635cE",Sports
317,Shubman Gill gets sweep shot tips from coach Rahul Dravid ahead of first Australia Test  https://t.co/7HG793WfWv,Sports
318,We've advantage over others: Graeme Smith on possibility of Indians playing in SA20  https://t.co/rsxaP1vIIu,Sports
319,Churchill pile more misery on Mohammedan Sporting in I-League  https://t.co/1ugdCB4jKh,Sports
320,"CK Nayudu Trophy: Daryl, Lokeshwar help TN take first innings lead against Jharkhand  https://t.co/eTFM6HBTVu",Sports
321,Habitat for Humanity India organises Charity Golf tournament in Mumbai  https://t.co/rQEKbvwQG0,Sports
322,"At Super Bowl, Philadelphia Eagles coach Sirianni will face the man who fired him  https://t.co/J6p4uR4H7h",Sports
323,Ashwin is a quality bowler but we have tools to counter him: Steve Smith  https://t.co/Jb1u9ESIYM,Sports
324,Pakistan bans cricketer Asif Afridi under anti-corruption code  https://t.co/WTI6I0xY8v,Sports
325,"Gary Ballance achieves rare feat, becomes second player to score centuries for two countries  https://t.co/XFJWHXK3Wt",Sports
326,Sports saved me from becoming insurgent: Boxer L Sarita Devi  https://t.co/eCUP5Brdmk,Sports
327,LeBron James eyes NBA scoring record as Los Angeles Lakers host Oklahoma City Thunder  https://t.co/boqvh1rQYp,Sports
328,Chicago Bulls' big men hope to bully Memphis Grizzlies in NBA  https://t.co/2aG9mvW0Od,Sports
329,NBA: Suns' Devin Booker will likely return to face short-handed Brooklyn Nets  https://t.co/hub4rFVsKb,Sports
330,Former India selector Sunil Joshi slammed for picking Suryakumar over Pujara  https://t.co/7LyvprusNC,Sports
331,Ranji Trophy: Patience the key against go-getters Saurashtra  https://t.co/MsP7qDXQzK,Sports
332,Paris mayor against Russian athletes at 2024 Olympics 'while war goes on'  https://t.co/8ATwkSCiav,Sports
333,"Australia could win Border-Gavaskar Trophy 2-1, says JP Duminy  https://t.co/g3AwhOfSJF",Sports
334,409 cricketers set to go under the hammer at inaugural Women's Premier League auction  https://t.co/vXuhzXRYCZ,Sports
335,"WPL auction: Harmanpreet Kaur, Smriti Mandhana among 24 players with highest base price of Rs 50 lakh  https://t.co/mbTkXVrya6",Sports
336,"WPL auction: Harmanpreet Kaur, Smriti Mandhana among 24 players with highest base price of Rs 50 lakh  https://t.co/dZCdO9C2nl",Sports
337,You never know with pitches but there is a temptation to play three spinners in India: KL Rahul  https://t.co/fAG2vtsl1E,Sports
338,"Touched Ashwin's feet, he asked me what I am bowling to Australians: His 'duplicate' Mahesh Pithiya  https://t.co/8QiQuSzSUp",Sports
339,"Langer, Smith, Connor join MCC World Cricket committee  https://t.co/zfTEPdYGkl",Sports
340,Yorkshire admit four charges after investigation into racism claims  https://t.co/Xy0fooormD,Sports
341,'I'll be more than happy to do it': KL Rahul on batting in middle order  https://t.co/XnY8Q94eR8,Sports
342,"ICC nominates Mohammed Siraj, Shubman Gill for Player of the Month Award  https://t.co/pdyODZ3YcU",Sports
343,'Good for cricket': Abdul Razzaq's surprising take on Indo-Pak Asia Cup tussle  https://t.co/tIDHoadiTf,Sports
344,What happened when Chris Gayle visited the RCB fan in hospital after his six broke her nose  https://t.co/rxcVxgkOPS,Sports
345,"IND vs AUS: Beware Team India! Steve Smith and Nathan Lyon biggest threats, says Dinesh Karthik  https://t.co/zxqE7wQSBn",Sports
346,MCA Women's T20 League to be shown live on Facebook  https://t.co/Rc9o34nOvV,Sports
347,Turkey earthquake: Ex-Newcastle United player Christian Atsu pulled alive from rubble  https://t.co/AZ99veroYe,Sports
348,"Viral: Virat Kohli loses his phone, tweets 'has anyone seen it?'  https://t.co/VYu3xHNsvS",Sports
349,"India vs Australia Test series: Fixtures, squads, head to head  https://t.co/6y2iizfuCj",Sports
350,"""Plenty of guys who can do it"": Aaron Finch on his successors as opener and captain  https://t.co/mYkKCzkAIV",Sports
351,"NBA: Giannis Antetokounmpo, Milwaukee Bucks post easy win over Portland Trail Blazers  https://t.co/yp0UruuogP",Sports
352,Three key battles in India vs Australia Test series  https://t.co/x7SZgYFD8n,Sports
353,"NBA: Klay Thompson scores 42 points with season high 3-pointers, Golden State Warriors beat Oklahoma City Thunder  https://t.co/xGKI5KK3Bs",Sports
354,Lionel Messi jersey: A gift from Argentina for PM Narendra Modi  https://t.co/flWrXjgcuH,Sports
355,NBA: LeBron James 'disappointed' Lakers didn't get Kyrie Irving  https://t.co/4Xq83lbGVq,Sports
356,"Australia will play Cameron Green as pure batter in 1st Test against India, feels Adam Gilchrist  https://t.co/HFT4FPgDmy",Sports
357,Sania Mirza and partner Bethanie Mattek-Sands crash out of Abu Dhabi Open  https://t.co/rnLEEET6kc,Sports
358,WATCH: When Anil Kumble took all 10 Pakistan wickets in India's famous win  https://t.co/QRV3HJHeX1,Sports
359,WATCH: When Anil Kumble took all 10 Pakistan wickets in India's famous win  https://t.co/53YOT82NVB,Sports
360,India's Anuj Kichlu in FIFA's working group for agents  https://t.co/EcnohhKh4a,Sports
361,"Kabaddi player accuses coach of sexual assault, blackmail  https://t.co/qxXwTitG0Q",Sports
362,"India vs Australia: Lots of rubbish spoken by former players on pitches, says Ian Chappell  https://t.co/8vlnVdKsgY",Sports
363,"India vs Australia: Lots of rubbish spoken by former players on pitches, says Ian Chappell  https://t.co/6gl2YmFFJh",Sports
364,I will be pleased if Asia Cup is moved to Sri Lanka: R Ashwin's response to PCB  https://t.co/fp3weHs3Vg,Sports
365,Lazio miss chance for third place after draw at Verona  https://t.co/yGcsYa0g2m,Sports
366,"Unhappy with unhygienic hotel rooms, Indian shooters accommodated at Dr Karni Singh Range  https://t.co/BAM16RW3kv",Sports
367,Australia's Aaron Finch retires from international cricket  https://t.co/6RAmab0ucw,Sports
368,India vs Australia: Will spinners decide the winners?  https://t.co/feLRdB6RE9,Sports
369,"ISL: Odisha FC, FC Goa fail to pocket full points  https://t.co/eRjI33MubL",Sports
370,1st Test: Chanderpaul hits unbeaten double ton as West Indies dominate  https://t.co/bUQQtwMw6V,Sports
371,Former India international Sharaf Ali named KSSC president  https://t.co/J8dHIVP9jq,Sports
372,"ISL: Resolute Odisha FC hold FC Goa to 1-1 draw, keep playoff chances alive  https://t.co/cTGUu4n4WZ",Sports
373,Indian batters disappoint as Australia win by 44 runs in Women's T20 World Cup warm-up match  https://t.co/aaskYLYzDP,Sports
374,Carlos Queiroz named as new Qatar coach  https://t.co/6BulbLvCtP,Sports
375,Jesse Marsch sacked by struggling Leeds United  https://t.co/r6uD9z9eXf,Sports
376,"WPL: Rs 12cr auction purse too less, says Diana Edulji  https://t.co/U72uXkp5xS",Sports
377,CK Nayudu Trophy: Tamil Nadu 151/2 in reply to Jharkhand's 316 on Day 2  https://t.co/6GQrutbr4V,Sports
378,"'I hope it’s just the start', Renedy Singh says as Manipur gets 1st international match  https://t.co/rPTVyfy5V3",Sports
379,ISL: Plenty to play for Kerala Blasters and Chennaiyin FC  https://t.co/T2BiadyKKJ,Sports
380,Important to guide young players under spotlight: Jhulan Goswami  https://t.co/EQV4n1OakZ,Sports
381,India U-17 women's team routs hosts Jordan 7-0 in friendly match  https://t.co/Hnz2bDSzTu,Sports
382,Inaugural Women's Premier League season set to be played from March 4-26 in Mumbai  https://t.co/LSyNuc0Iwg,Sports
383,Inaugural Women's Premier League season set to be played from March 4-26 in Mumbai  https://t.co/LSyNuc1glO,Sports
384,Watch: Australian players rate Test series win in India bigger than Ashes  https://t.co/YyWjvSCIp0,Sports
385,Cricket Australia's '36 all out' tweet for India leaves fans irked on social media  https://t.co/X1AgvyIq52,Sports
386,India names 25-member team for Asian Indoor Athletics Championships  https://t.co/OAyDloLU14,Sports
387,Chhattisgarh beat Arunachal Pradesh by an innings &amp; 385 runs  https://t.co/RRQRg2Uk6g,Sports
388,Rishabh Pant's absence in the upcoming Test series will make Australia happy: Ian Chappell  https://t.co/2wkHPKKdCG,Sports
389,Virat Kohli's record against Australia should spur him on: Ravi Shastri  https://t.co/kpR6yjPLIm,Sports
390,"Brathwaite-Chanderpaul rewrite history, break West Indies' 33-year old Test opening record  https://t.co/FgbBmvtbsn",Sports
391,Ashwin's form might decide the outcome of the Test series against Australia: Ravi Shastri  https://t.co/8Gcusize05,Sports
392,Barcelona captain Sergio Busquets suffers ankle injury  https://t.co/mguvVkJ1EB,Sports
393,Iga Swiatek dominates unchanged WTA top 20  https://t.co/tdANdXyK1d,Sports
394,Alexander Zverev slips two places in ATP rankings  https://t.co/QhdvqU9edM,Sports
395,Manchester City referred to disciplinary commission over alleged rule breaches  https://t.co/EZJHMCL4qA,Sports
396,IPL is in a different ecosystem among all leagues around the world: Sourav Ganguly  https://t.co/n9SIiKAR4D,Sports
397,IPL is in a different ecosystem among all leagues around the world: Sourav Ganguly  https://t.co/ieA8mrlzYV,Sports
398,'Hoping that Australia can go all the way': Mahela Jayawardene makes bold prediction ahead of Border-Gavaskar Trophy  https://t.co/N6ZSwje6sA,Sports
399,Manraj and Rakshitha to spearhead Indian contingent at Dutch and German Junior tournament  https://t.co/rWBmbvjVQ4,Sports
400,Geet Sethi to be felicitated to mark 45 years of Delhi Billiards and Snooker Association  https://t.co/m0XY6oL6UW,Sports
401,"Women's T20 World Cup: Shafali Verma will be a key player for us, I always like to back her, says Harmanpreet Kaur  https://t.co/2KUlHdyt1T",Sports
402,When Ishant Sharma stopped Virat Kohli from having a chat with Jasprit Bumrah on the field  https://t.co/xtER2D5d7B,Sports
403,When Ishant Sharma stopped Virat Kohli from having a chat with Jasprit Bumrah on the field  https://t.co/KtSbMp0pUO,Sports
404,'Good time for Formula E to come to India'  https://t.co/taKo430XPS,Sports
405,India vs Australia Test cricket rivalry: Interesting statistics and records  https://t.co/37gWfHYkmL,Sports
406,India vs Australia: Usman Khawaja feels handling the 'skillful and tricky' Ashwin will be the key for Australia  https://t.co/S0cjwe7B6O,Sports
407,India vs Australia: R Ashwin inches closer to go past Harbhajan Singh  https://t.co/kFrOqHH9Mv,Sports
408,"$68,995! Courtside ticket price to watch LeBron James break NBA record  https://t.co/s4zWQpkpEM",Sports
409,'King' LeBron James poised for NBA scoring record crown  https://t.co/qp5juyLuWc,Sports
410,Real Madrid's Vinicius Jr victim again of racist abuse in Mallorca  https://t.co/wXQQe8liZi,Sports
411,Boris Becker welcomed back 'with open arms' by German tennis  https://t.co/90d87vYIQT,Sports
412,India look to next generation at Women's T20 World Cup  https://t.co/4gVlOwcKpK,Sports
413,Alycia Parks stuns Caroline Garcia to win maiden WTA title in Lyon  https://t.co/gkh7AHMkas,Sports
414,Bengaluru shuttler Tanya Hemanth asked to wear headscarf for medal ceremony in Tehran  https://t.co/vLqMvd6fiF,Sports
415,LIV's Abraham Ancer wins Saudi International  https://t.co/3FU1d9Ho8W,Sports
416,LIV's Abraham Ancer wins Saudi International  https://t.co/3FU1d9HVYu,Sports
417,"Skipper Lautaro Martinez fires Inter to Milan derby glory, Napoli maintain huge lead  https://t.co/6hWulfF7Zy",Sports
418,Mirra shock for King's Ransom  https://t.co/o2CwXL3HX8,Sports
419,"Croatia into Davis Cup Finals as South Korea, Finland celebrate  https://t.co/7oOQCyelBy",Sports
420,"Barcelona beat Sevilla to extend La Liga lead, Real Madrid lose at Mallorca  https://t.co/K1nlKeRxHi",Sports
421,"Barcelona beat Sevilla to extend La Liga lead, Real Madrid lose at Mallorca  https://t.co/bCBm5dR8QJ",Sports
422,Harry Kane's record-breaking goal seals Tottenham Hotspur's win over Manchester City  https://t.co/tQbGin7AMG,Sports
423,"Col CK Nayudu Trophy: Vishal, Rajan propel Jharkhand U25 against Tamil Nadu  https://t.co/b1AQgtwfaf",Sports
424,"Col CK Nayudu Trophy: Vishal, Rajan propel Jharkhand U25 against Tamil Nadu  https://t.co/hrPeHfgRIl",Sports
425,"Strong off-season preparation, presence of dad as caddie helps Aditi Ashok end title drought  https://t.co/T8DQSwmhCt",Sports
426,How India-Pakistan cricket thrived in Pervez Musharraf's rule  https://t.co/6id8DT4kQI,Sports
427,"1st Test, Day 2: Maiden ton for Tagenarine Chanderpaul against Zimbabwe  https://t.co/7F2aCNzFZD",Sports
428,ISL: Hosts Odisha FC ready for FC Goa challenge  https://t.co/BmDfWK7gp8,Sports
429,Bengaluru FC beat ATK Mohun Bagan 2-1 to reclaim play-off spot in ISL  https://t.co/TDq4CuHupl,Sports
430,Harry Kane breaks Jimmy Greaves goal record for Tottenham  https://t.co/LHchF7lEuO,Sports
431,India held to goalless draw by Bangladesh in SAFF U-20 Women's C'ship  https://t.co/nqnwM848iS,Sports
432,EPL: Navas shines on debut as Nottingham Forest edge out Leeds United  https://t.co/laTM8bCm0N,Sports
433,"Shubhankar Sharma, Anirban Lahiri finish tied-12th in Jeddah  https://t.co/MIMMmM4uKI",Sports
434,"Kenya Ladies Open: Aditi Ashok wins by nine shots in dominating show, takes fourth LET title  https://t.co/2f4SUNcNah",Sports
435,Nacho blunder gifts Mallorca upset win over Real Madrid  https://t.co/ZXvUNPBNjI,Sports
436,Tejaswin Shankar overcomes former world champion's challenge to win high jump gold in Boston  https://t.co/fTSnileysP,Sports
437,Viknesh dropped from Kerala squad after dope test failure  https://t.co/ZFVsaRFOUP,Sports
438,Serie A: Victor Osimhen double leads Napoli to 3-0 win over Spezia  https://t.co/z0IEqOravK,Sports
439,"Khelo India Youth Games: Haryana maintain top slot, clinch 49 medals including 22 gold medals  https://t.co/EChgf2PA97",Sports
440,China's Lin Zhu wins 2023 Thai Open  https://t.co/ljcHyi7V9d,Sports
441,Day of reckoning: Will Scott Boland rise to the occasion in unfamiliar conditions?  https://t.co/fBbNEUpagF,Sports
442,I-League: Sudeva Delhi FC hold Punjab FC to 1-1 draw  https://t.co/qaOi8GNmLI,Sports
443,PSG in talks with Lionel Messi over renewing contract  https://t.co/asIIvJjAKN,Sports
444,"Najam Sethi toes Ramiz Raja's line on Asia Cup, threatens to pull out of World Cup in India: PCB source  https://t.co/KfKxBjo10O",Sports
445,Watch: Comeback-man Ravindra Jadeja sheds light on recovery from knee surgery  https://t.co/rYQ3lFmCq9,Sports
446,Watch: Iftikhar Ahmed smashes six sixes in an over off Wahab Riaz  https://t.co/ypgxlLwm3Z,Sports
447,Hyderabad's best gathers to acclaim Bobjee's stellar services  https://t.co/LnrtqJe0vb,Sports
448,"Down Memory Lane: Riots of 1969, tied Test and mother of all comebacks  https://t.co/q2IB9XuTsM",Sports
449,"Explosion near the stadium halts an exhibition match; Babar Azam, Shahid Afridi moved to safety  https://t.co/Lt2qRdTpTs",Sports
450,Ashu clinches bronze as other wrestlers disappoint in Zagreb  https://t.co/4DnWu6Dx4M,Sports
451,"Jhulan Goswami appointed team mentor of Mumbai Indians women's team, Charlotte Edwards head coach  https://t.co/0r6eTOYCLj",Sports
452,India's chances in T20 World Cup will be largely dependent on top-order: Mithali Raj  https://t.co/eEhQ49rRUx,Sports
453,Jhulan Goswami in dual role as mentor and bowling coach of WPL team owned by Mumbai Indians  https://t.co/Y7YiPKi7oF,Sports
454,"IND vs AUS: Emphasis on fielding, close-in catching in the series, says Rahul Dravid  https://t.co/8NT60QoECP",Sports
455,Ridhima Dilawari starts season with a fine tied-13th place in South Africa  https://t.co/QSN5iU5NSx,Sports
456,Aditi Ashok holds six-shot lead with one round to go in Kenya Ladies Open  https://t.co/PpL20YKmri,Sports
457,Aditi Ashok holds six-shot lead with one round to go in Kenya Ladies Open  https://t.co/fBMBYxOrPZ,Sports
458,"Arjun Atwal yet to complete third round at Pebble Beach Pro-Am, Peter Malnati leads  https://t.co/MwZZK9qpDU",Sports
459,"Anirban Lahiri, Shubhankar Sharma Tied-19th after third round in Saudi International  https://t.co/QA18FBsyyp",Sports
460,Former Indian cricketer Vinod Kambli booked for hitting wife on her head  https://t.co/BhQZ5UuS7d,Sports
461,"Women's T20 World Cup: Indian team focussed on Pakistan clash despite WPL auction, says Harmanpreet Kaur  https://t.co/ubkrcMN0NE",Sports
462,"India vs Australia: Injured Josh Hazlewood set to miss first Test, doubtful for second game  https://t.co/AEQehRNYj3",Sports
463,FIR against ex-cricketer Vinod Kambli on charge of assaulting wife  https://t.co/Ky0fayiaPj,Sports
464,ISL: Mumbai City FC's 11-game winning run ends after draw with Hyderabad  https://t.co/Zh7El1RFnr,Sports
465,"Girls in junior cricket used to disappear from the system, now there’s a roadmap, says India's U-19 World Cup-winning coach Nooshin al Khadeer  https://t.co/cc3ndnQgLo",Sports
466,"WATCH: Shreyas Iyer, Shikhar Dhawan groove to Rema's 'Calm Down Baby'  https://t.co/hDWSUMZgOb",Sports
467,"India vs Australia: Nagpur pitch condition will decide our playing XI, says Australia captain Pat Cummins  https://t.co/RpIMdusaUw",Sports
468,Pelicans down Lakers as James moves 36 points from NBA scoring record  https://t.co/ftDvgjTFoW,Sports
469,Unhygienic rooms for top shooters preparing for Cairo World Cup  https://t.co/Om79MINYPm,Sports
470,"India vs Australia: It's not about training against a replica bowler, it's about mental clarity, says Laxman Sivaramakrishnan  https://t.co/v16cYVGayK",Sports
471,IND vs AUS: Cameron Green's 'surprise' progress leaves Andrew McDonald hopeful ahead of first Test  https://t.co/rws87OedaZ,Sports
472,Newcastle United held at home by West Ham  https://t.co/0rIVHnwR9a,Sports
473,Atletico Madrid held to 1-1 draw against Getafe  https://t.co/04kbPl8pBR,Sports
474,Lionel Messi to the rescue as PSG extend Ligue 1 lead  https://t.co/P2ucG36Z1t,Sports
475,"Australia is a fighting team, I enjoy that kind of battle: Cheteshwar Pujara  https://t.co/9WkcBWoVng",Sports
476,EPL: Mitoma scores again to give Brighton last-gasp 1-0 win over Bournemouth  https://t.co/rq1eoHafSx,Sports
477,Premier League: Leicester stun Villa with comeback victory  https://t.co/NJvvgeUpDx,Sports
478,Premier League: High-flying Brentford sink bottom side Southampton 3-0  https://t.co/egadbiu52v,Sports
479,"EPL: Rashford fires Man United to 2-1 win over Crystal Palace, Casemiro sees red  https://t.co/NQJLSPi3Qf",Sports
480,All-round Parth Bhut takes five-for as Saurashtra beat Punjab to enter semi-final  https://t.co/NwZ7Kf5xZm,Sports
481,Premier League: Sorry Liverpool thrashed 3-0 at Wolves  https://t.co/V85n7GyG5f,Sports
482,Premier League: Sorry Liverpool thrashed 3-0 at Wolves  https://t.co/K621fahWLH,Sports
483,Project to nurture women footballers in South Bengal  https://t.co/CRNJTm3UUx,Sports
484,Bundesliga: Sebastien Haller on target as Dortmund crush Freiburg for fourth straight win  https://t.co/hJLnNYzYyq,Sports
485,Sensational Union go top in the Bundesliga with late win over Mainz  https://t.co/yOAFa72jC6,Sports
486,"1st Test, Day 1: Kraigg Brathwaite, Tagenarine Chanderpaul hit half-centuries for Windies  https://t.co/sKyf92VKMk",Sports
487,Abu Nechim Ahmed says ‘it’s right time’ after hanging his boots  https://t.co/i7NMTEdZv0,Sports
488,"UAE set to host Asia Cup, venue to be finalised in March  https://t.co/VHDd04kRet",Sports
489,PT Usha alleges security threat in her academy; breaks down before media  https://t.co/JOfc8S6OQM,Sports
490,We want to beat Satwik-Chirag: Vishnuvardhan  https://t.co/eYyTXPqKYG,Sports
491,Premier League leaders Arsenal beaten 1-0 by Everton  https://t.co/Y5lgLIFDse,Sports
492,Suresh Raina feels Australia have missed the trick by not playing warm-up games  https://t.co/6XQVQgqFmP,Sports
493,Davis Cup: Rohan Bopanna-Yuki Bhambri pair loses in straight sets  https://t.co/d13xvhBXBE,Sports
494,1500 players to take part in Khelo India Winter Games in J&amp;K: Thakur  https://t.co/6axwSJ6OpE,Sports
495,Perth Scorchers edge Brisbane Heat in BBL final to retain title  https://t.co/Jhl68HPrmj,Sports
496,'Rank turner could backfire': Experts bat for sporting tracks in Border-Gavaskar Trophy  https://t.co/VNWMXtIUfS,Sports
497,'Already inside Australia's head': Former India cricketers weigh in on Aussies prepping with Ashwin's 'carbon copy'  https://t.co/mlJylCYtRs,Sports
498,Fast and furious: Vizag girl Shabnam's aim is to rattle the opponents with her pace  https://t.co/YTrjqKsuYl,Sports
499,Destiny plays a key role in Yashashri's World Cup journey  https://t.co/gxKne461ah,Sports
500,"Preparation time helped us in getting the girls match fit, says strength and conditioning coach Shalini  https://t.co/culO6VFwZ2",Sports
501,"When I held the trophy, I told myself that this is for women’s cricket back home, says coach Nooshin Al Khadeer  https://t.co/IlfIs3i0yS",Sports
502,"Eat, sleep and breath cricket: Trisha’s father Rami Reddy’s mantra for success  https://t.co/PeTANfO2FF",Sports
503,1st Test: West Indies score slowly against Zimbabwe  https://t.co/eF1aezJNsz,Sports
504,Took provisional suspension for swift resolution of my doping case: Dipa Karmakar  https://t.co/WS2MudW0LD,Sports
505,Our fast bowlers have been good in all conditions: Pat Cummins  https://t.co/7qvcYkYX8B,Sports
506,India vs Australia: Cameron Green has an 'outside chance' to play the Nagpur Test  https://t.co/hzxm9q7kpJ,Sports
507,Injuries to Rishabh Pant and Jasprit Bumrah make India more vulnerable at home this time: Greg Chappell  https://t.co/dpLfXTJT3R,Sports
508,U-19 champ Falak Naz’s resounding welcome in her hometown Prayagraj  https://t.co/h5kMbAqak2,Sports
509,Shubhankar Sharma top Indian in Saudi International  https://t.co/jwixAi5Tfo,Sports
510,Ten Hag warns against Greenwood distraction for Manchester United  https://t.co/fr6so66p2e,Sports
511,"F1 drivers must be allowed to speak out freely, says Sergio Perez  https://t.co/bpZlYjh4zZ",Sports
512,Arjun Atwal struggles in windy conditions at Pebble Beach Pro-Am  https://t.co/5sXnrLdSBA,Sports
513,"India vs Australia: Aussies love to sledge and play mind games before a series, says Ravichandran Ashwin  https://t.co/cqWkNc1Zbz",Sports
514,"Narredus, the first family of Indian Derby  https://t.co/U6M3zaaK9v",Sports
